ID,trueAnnotation,Ignore,Annotation
https://www.idref.fr/235633100.rdf,"['Sabucina', 'Sabbucina']",[],"['Sabucina', 'Sabbucina']"
https://www.idref.fr/096275596.rdf,"['Casa del Granduca', 'Pompei', 'Pompéi']",[],"['Casa del Granduca', 'Pompei', 'Pompéi']"
https://www.idref.fr/17731351X.rdf,"['Tell el-Eswed', 'Tell Haddâdin', 'Tell el-Iswid', 'Tall al-Iswid', 'Tell el-Iswid-Sud', 'Tall al-aswad', 'Tell Abassieh', 'El-Tell El-Iswid']",[],"['Tell el-Eswed', 'Tell Haddâdin', 'Tell el-Iswid', 'Tall al-Iswid', 'Tell el-Iswid-Sud', 'Tall al-aswad', 'Tell Abassieh', 'El-Tell El-Iswid']"
https://www.idref.fr/052497399.rdf,"['Maʿbad Īzīs', ""Temple d'Isis"", 'Dendara', ""Temple de la naissance d'Isis"", 'Dandara', 'Dandarah', 'Dendéra', 'Dendera', 'Dandaraẗ', 'Dendérah', 'Denderah']",[],"['Maʿbad Īzīs', ""Temple d' Isis"", 'Dendara', ""Temple de la naissance d' Isis"", 'Dandara', 'Dandarah', 'Dendéra', 'Dendera', 'Dandaraẗ', 'Dendérah', 'Denderah']"
https://www.idref.fr/027224848.rdf,"[""Temple d'Hathor"", 'Dendara', 'Mʿabad Ḥatḥūr', 'Dandara', 'Dandarah', 'Dendéra', 'Dendera', 'Dandaraẗ', 'Dendérah', 'Denderah']",[],"[""Temple d' Hathor"", 'Dendara', 'Mʿabad Ḥatḥūr', 'Dandara', 'Dandarah', 'Dendéra', 'Dendera', 'Dandaraẗ', 'Dendérah', 'Denderah']"
https://www.idref.fr/142684694.rdf,"['Dirâʿ AbûʾN-Nága', 'Dra Abou el Neggah', 'Ḏiraʿ Abū al-Naǧā', 'Dra Aboul Naga', ""Dra Abou'l Negga"", 'Dra Abu el Naga', 'Dra Abu al-Naga', 'Drah Aboul Nagga', 'Dra Abou el-Naga', ""Dra' Abu el-Naga'"", ""Dra' Abu el Naja'"", 'Dra Abu el-Naga', 'Deraa Abou el Negga', ""Dra Abu'l Naga"", 'Dra Abu el Naggah', 'Drah Abou el Nagah', 'Draa-abou-el-Naga', 'Dra Abul Naga', ""Dra Abou'l Nagga"", 'Dra Abou el Negga']",[],"['Dirâʿ AbûʾN-Nága', 'Dra Abou el Neggah', 'Ḏiraʿ Abū al-Naǧā', 'Dra Aboul Naga', ""Dra Abou'l Negga"", 'Dra Abu el Naga', 'Dra Abu al-Naga', 'Drah Aboul Nagga', 'Dra Abou el-Naga', ""Dra' Abu el-Naga'"", ""Dra' Abu el Naja'"", 'Dra Abu el-Naga', 'Deraa Abou el Negga', ""Dra Abu'l Naga"", 'Dra Abu el Naggah', 'Drah Abou el Nagah', 'Draa-abou-el-Naga', 'Dra Abul Naga', ""Dra Abou'l Nagga"", 'Dra Abou el Negga']"
https://www.idref.fr/174255403.rdf,['Leopoli-Cencelle'],[],['Leopoli-Cencelle']
https://www.idref.fr/254046053.rdf,"['Vidulis', 'Villa romaine', 'Villa romana', 'Tumbules', 'Dignano al Tagliamento']",[],"['Vidulis', 'Villa romaine', 'Villa romana', 'Tumbules', 'Dignano al Tagliamento']"
https://www.idref.fr/027369927.rdf,"['Aquilée', 'Aquileia']",[],"['Aquilée', 'Aquileia']"
https://www.idref.fr/254162363.rdf,"['Aquileia', 'Aquilée', 'Port fluvial', 'Porto sul Natissa', 'Porto fluviale', 'Port sur le Natissa']",[],"['Aquileia', 'Aquilée', 'Port fluvial', 'Porto sul Natissa', 'Porto fluviale', 'Port sur le Natissa']"
